Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
14.69 s,-4.80 m,7.74 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001965805240499454,0.0012468200545025826,-1.579473012,-8 pixels,N/A,N/A,N/A
14.82 s,-4.80 m,7.73 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019508650694261298,0.0012049654740873155,-1.579575027,-8 pixels,N/A,N/A,N/A
14.94 s,-4.80 m,7.72 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018832338334805537,0.0012825940573260512,-1.579556834,-8 pixels,N/A,N/A,N/A
15.08 s,-4.80 m,7.71 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001833435282823428,0.0012295834273169167,-1.579612837,-9 pixels,N/A,N/A,N/A
15.23 s,-4.80 m,7.70 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016889550559835939,0.0012685402213387384,-1.579647925,-9 pixels,N/A,N/A,N/A
15.35 s,-4.80 m,7.69 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017736385014760758,0.0012351408214913283,-1.57965787,-9 pixels,N/A,N/A,N/A
15.46 s,-4.80 m,7.68 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001780036995935214,0.001331142587663739,-1.57970462,-9 pixels,N/A,N/A,N/A
15.59 s,-4.80 m,7.67 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019406811474701458,0.001317167268807269,-1.579841451,-9 pixels,N/A,N/A,N/A
15.71 s,-4.80 m,7.67 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00202837156033708,0.0013852599307273682,-1.579781457,-9 pixels,N/A,N/A,N/A
15.84 s,-4.80 m,7.66 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021575931230559163,0.001344634759864108,-1.579858561,-9 pixels,N/A,N/A,N/A
15.96 s,-4.80 m,7.65 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021762263120683792,0.0014051877888208006,-1.579886879,-9 pixels,N/A,N/A,N/A
16.09 s,-4.80 m,7.64 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0022220697984527563,0.0013651327067507194,-1.579999456,-9 pixels,N/A,N/A,N/A
16.22 s,-4.80 m,7.63 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0022503330553730917,0.0014478558853582167,-1.579956665,-9 pixels,N/A,N/A,N/A
16.34 s,-4.80 m,7.62 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002297796605367911,0.0013847427545861516,-1.580038093,-9 pixels,N/A,N/A,N/A
16.47 s,-4.80 m,7.61 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0022415835470742376,0.0013919042610513624,-1.580070955,-9 pixels,N/A,N/A,N/A
16.58 s,-4.80 m,7.60 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002166290672894824,0.0013574466684585624,-1.580044648,-9 pixels,N/A,N/A,N/A
16.71 s,-4.80 m,7.59 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021207621562054284,0.0013896188997115438,-1.580070394,-9 pixels,N/A,N/A,N/A
16.85 s,-4.80 m,7.58 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021411230706489723,0.0013405840666764167,-1.580090814,-9 pixels,N/A,N/A,N/A
16.98 s,-4.80 m,7.57 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021369486504757506,0.0012998839448713775,-1.580080221,-9 pixels,N/A,N/A,N/A
17.1 s,-4.80 m,7.56 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021368734577777563,0.0012651307842434106,-1.580067716,-9 pixels,N/A,N/A,N/A
17.22 s,-4.80 m,7.55 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021223885407133346,0.0012654771091116582,-1.58008355,-9 pixels,N/A,N/A,N/A
17.35 s,-4.80 m,7.54 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020580340769025766,0.0013682482011513613,-1.58015836,-9 pixels,N/A,N/A,N/A
17.48 s,-4.80 m,7.53 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001919718611258775,0.00137965455986072,-1.580175538,-9 pixels,N/A,N/A,N/A
