Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
36.88 s,2.63 m,-4.37 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.01 s,2.63 m,-4.36 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.13 s,2.64 m,-4.35 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.25 s,2.65 m,-4.35 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.37 s,2.66 m,-4.34 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.48 s,2.67 m,-4.33 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.6 s,2.68 m,-4.32 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.71 s,2.68 m,-4.32 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.83 s,2.69 m,-4.31 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
37.95 s,2.70 m,-4.30 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
38.07 s,2.71 m,-4.30 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
