Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
199.84 s,-4.80 m,-6.14 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0022674593119199576,0.0034309663603480428,-1.583998717,-7 pixels,N/A,N/A,N/A
199.97 s,-4.80 m,-6.15 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0023251761016681253,0.003160585387716288,-1.584013959,-7 pixels,N/A,N/A,N/A
200.09 s,-4.80 m,-6.15 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002328146892607827,0.0029225136395430286,-1.584118809,-7 pixels,N/A,N/A,N/A
200.21 s,-4.80 m,-6.17 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0022854563552299235,0.0025504009345359646,-1.584150027,-7 pixels,N/A,N/A,N/A
200.34 s,-4.80 m,-6.18 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021925078670248584,0.0023027660715647987,-1.584126597,-7 pixels,N/A,N/A,N/A
200.46 s,-4.80 m,-6.19 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0022007121140823578,0.0020088690800147673,-1.584255502,-7 pixels,N/A,N/A,N/A
200.59 s,-4.80 m,-6.20 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020526559192668896,0.0019830549744232133,-1.584254717,-7 pixels,N/A,N/A,N/A
200.71 s,-4.80 m,-6.20 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00201470796457939,0.001850080033908815,-1.584361468,-8 pixels,N/A,N/A,N/A
200.83 s,-4.80 m,-6.22 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018808131503634464,0.0018907482882986487,-1.58434731,-8 pixels,N/A,N/A,N/A
200.95 s,-4.80 m,-6.22 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018941657855386072,0.0017436908675550575,-1.584398226,-8 pixels,N/A,N/A,N/A
201.08 s,-4.80 m,-6.23 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001787382285549078,0.0017771688967563406,-1.584496434,-8 pixels,N/A,N/A,N/A
201.21 s,-4.80 m,-6.25 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001784188659395459,0.0016881419115086448,-1.584636268,-8 pixels,N/A,N/A,N/A
201.33 s,-4.80 m,-6.26 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017641629704667097,0.0016873944455838353,-1.584638372,-8 pixels,N/A,N/A,N/A
201.45 s,-4.80 m,-6.27 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0018053341532904253,0.0015349982210468476,-1.58466075,-9 pixels,N/A,N/A,N/A
201.57 s,-4.80 m,-6.27 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0017572556750082196,0.0014511038722059986,-1.584691849,-9 pixels,N/A,N/A,N/A
201.69 s,-4.80 m,-6.28 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.001770649189374351,0.001255259617549012,-1.584709643,-9 pixels,N/A,N/A,N/A
201.81 s,-4.80 m,-6.29 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017528545541891172,0.0011533708819126392,-1.58477672,-9 pixels,N/A,N/A,N/A
201.93 s,-4.80 m,-6.30 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017410694216058403,0.0010562959659229016,-1.584786894,-9 pixels,N/A,N/A,N/A
202.06 s,-4.80 m,-6.31 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016986011666784355,0.0010690013474391013,-1.584854927,-10 pixels,N/A,N/A,N/A
202.18 s,-4.80 m,-6.32 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001732408324472831,0.000896633313117494,-1.584966468,-10 pixels,N/A,N/A,N/A
202.31 s,-4.80 m,-6.33 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018243489230617368,0.0009240204693105839,-1.585007627,-10 pixels,N/A,N/A,N/A
