Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad)
176.27,0.6469084375564705,5.226862655168252,0.4793058593742967,-0.09880737223155829,0.011474688681467032,0.0008968954200632131,0.0021637885680855624,0.0016407536797058359,2.990249933349841
176.29,0.645328558621402,5.227047728328262,0.47932077155082475,-0.09880186271345298,0.011539320328853476,0.0009652893286267656,0.0021680064666281034,0.001635471374210013,2.9902283698279595
176.40,0.6353229046461322,5.228216190652156,0.4794274722420604,-0.0988122768736848,0.012009574766036124,0.0009423055719085512,0.0020473939580885705,0.001769086606225634,2.990119641524381
176.51,0.6255622160030264,5.229451963844936,0.4795383050718358,-0.09881304402777764,0.01239966415768392,0.0012752691841769472,0.002142410478417292,0.0016096380118515675,2.9900645977951075
176.62,0.6154502434118208,5.23072554049864,0.4796758832620204,-0.09882313200197577,0.012789473786997784,0.0012185552013554111,0.0019830386282826593,0.0017000264564599975,2.9899726170326555
176.72,0.6057835678413058,5.232014226245116,0.4798027389828622,-0.09876564626379288,0.01310488594732376,0.0013645234553551903,0.0020458524647288083,0.0015917576939206046,2.9898866434477434
176.83,0.5479719685479368,5.240223542396857,0.4806756310022327,-0.09826888496323415,0.014251162548704042,0.0015049357228501521,0.00200326971996475,0.001282371377754062,2.989517927047903
177.33,0.5478739222806293,5.240238265863383,0.48067713766638487,-0.09827720999204834,0.014257686989099344,0.0015069827838424912,0.002004078187406371,0.0012798309349309298,2.989518436296289
177.34,0.5475798859554638,5.240282075839264,0.4806816686066785,-0.0982773321861126,0.014257788738163617,0.0015115789961047765,0.002007370003569054,0.0012739856951591497,2.9895204941431817
177.34,0.5474818964004611,5.240296645893798,0.480683180676481,-0.09826768518550236,0.014252351063919932,0.0015120678447649444,0.0020085323203018735,0.0012721603222681861,2.9895214215831376
177.35,0.5465011353430054,5.240440959515131,0.48069829396193964,-0.09825192775238592,0.014273608388158337,0.0015088326064575438,0.002016758944431568,0.0012625890990031032,2.9895412058918907
177.36,0.5456177867370733,5.240567836899567,0.48071183011643936,-0.0982487046303676,0.014297260321170208,0.001499970922056533,0.002023144388442606,0.001270945468985035,2.9895648641240986
177.45,0.5359878320705466,5.241951739557844,0.4808539087357778,-0.0982900270070759,0.014292216178811802,0.0012228790018016433,0.002037614698694575,0.0013601661579325862,2.9894194473952838
177.55,0.5266663410018679,5.243328953960398,0.48095999087766306,-0.09835105636982586,0.0143109736775865,0.0010151625245167894,0.002120888266617032,0.0012509014024215139,2.989384499119633
